name,description,image,color,price,category
Shorts High Waist,"Shorts in superstretch twill with a high waist. Zip fly with button, back pockets, and sewn cuffs at hems.",//lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F0e%2Fd4%2F0ed4f3cdda5f5b530969a51db2a094730adf7b1d.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5BLadies_shorts_highwaisted%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Black,17.99,shorts
Mom Ultra High Denim Shorts,"5-pocket shorts in washed cotton denim. Extra-high waist, zip fly with button, and slightly wider legs. Cotton content is partly recycled.",//lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Fea%2F1f%2Fea1f5c2d691e6ecd698dbae0cc2d184aa12ff278.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5BLadies_shorts_highwaisted%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Light denim blue,19.99,shorts
Mom Fit Denim Shorts,"5-pocket shorts in washed cotton denim with heavily distressed details. High waist, zip fly with button, and sewn foldover cuffs. Cotton content is partly recycled.",//lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Fa4%2F49%2Fa449ac4f6e07464cd9fdb53895d8a1682f5ea507.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Light denim blue,19.99,shorts
Cotton Paper-bag Shorts,"Shorts in cotton twill. High paper-bag waist with ruffle trim, elasticized waistband, and zip fly with buttons. Side pockets and wide legs with sewn foldover cuffs.",//lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Fd1%2Fdf%2Fd1df1782d56aae3794e58c3f757272c0e940e03f.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5BLadies_shorts_highwaisted%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],White,12.99,shorts
Cotton Paper-bag Shorts,"Shorts in cotton twill. High paper-bag waist with ruffle trim, elasticized waistband, and zip fly with buttons. Side pockets and wide legs with sewn foldover cuffs.",//lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Feb%2Fe6%2Febe604128ab5f718b2e159a453f4ded56ba1620a.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5BLadies_shorts_highwaisted%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Black,12.99,shorts
Tie-belt Shorts,"Shorts in woven fabric. High waist with pleats at front, elastic at back of waistband, and zip fly with concealed hook-and-eye fasteners. Removable tie belt. Side pockets.",//lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Fb2%2Fd8%2Fb2d8cbf3cf04c2af0659d89b967d382d6bf98656.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5BLadies_shorts_highwaisted%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Green/white floral,24.99,shorts
Embrace High Denim Shorts,"Short, 5-pocket shorts in washed denim with distressed details. High waist, zip fly, and skinny legs. Smart stretch function – molds to body for a comfortable and flattering fit. Made partly from recycled cotton.",//lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F30%2F85%2F3085a83a0f6097fa84d2cf381b196d04f28b10cd.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5BLadies_shorts_highwaisted%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Denim blue,29.99,shorts
Denim Shorts High Waist,"5-pocket shorts in washed denim. High waist, zip fly with button, and raw-edge hems.",//lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F55%2F7c%2F557c0c07d5c79494af934896f95964b92bede64d.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5Bladies_shorts_jeans%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Light denim blue,24.99,shorts
Denim Shorts High Waist,"Shorts in washed cotton denim with a high waist. Pleats at front, zip fly with button, diagonal side pockets, and back pockets. Made partly from recycled cotton.",//lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F1b%2F39%2F1b3970a8dd990bb7f9a8551227952bae2807f14e.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Denim blue,29.99,shorts
Denim Paper-bag Shorts,"Shorts in thick cotton denim. High paper-bag waist with elasticized waistband, removable tie belt, and zip fly with buttons. Front pockets, back pockets, and sewn foldover cuffs.",//lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F0f%2F4e%2F0f4ee6062f99997ff7031b9f819b9c66fcd72fe4.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5Bladies_shorts_jeans%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Light denim blue,29.99,shorts
Paper-bag Shorts,"Shorts in woven fabric with a high paper-bag waist and covered, elasticized waistband.",//lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F10%2Fab%2F10ab85615b118f5b93363946eef2929024ccb933.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5BLadies_shorts_highwaisted%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Light beige,17.99,shorts
